,naselje,rodilnik,mestnik,lat,lng,region_name,region_id
3210,Padeški Vrh,Padeškiv Vrha,Padeških Vrhu,46.375,15.3854,Savinjska,SI034
3211,Padež,Padeža,Padežu,46.1563,15.2386,Savinjska,SI034
3212,Padež,Padeža,Padežu,45.9624,14.2937,Osrednjeslovenska,SI041
3215,Padovo Pri Fari,Padova Priv Fariv,Padovu Prih Farih,45.5088,14.91,Jugovzhodna Slovenija,SI037
3217,Paha,Pahe,Pahi,45.8,15.1667,Jugovzhodna Slovenija,SI037
3219,Paka,Pake,Paki,46.3825,15.2956,Savinjska,SI034
3220,Paka – Del,Pake –a Dla,Paki –u Dlu,46.4431,15.1931,Koroška,SI033
3221,Paka Pri Predgradu,Pake Priv Predgradua,Paki Prih Predgraduu,45.643,14.8594,Jugovzhodna Slovenija,SI037
3222,Paka Pri Velenju,Pake Priv Velenjua,Paki Prih Velenjuu,46.3625,15.1144,Savinjska,SI034
3223,Pako,Paka,Paku,45.9197,14.3572,Osrednjeslovenska,SI041
3224,Palčje,Palčja,Palčju,45.6833,14.2,Primorsko-notranjska,SI038
3225,Paljevo,Paljeva,Paljevu,46.088,13.6347,Goriška,SI043
3226,Paloviče,Paloviča,Paloviču,46.3581,14.293,Gorenjska,SI042
3227,Pameče,Pameča,Pameču,46.5094,15.0792,Koroška,SI033
3228,Pance,Panca,Pancu,46.0514,14.5061,Osrednjeslovenska,SI041
3229,Paneče,Paneča,Paneču,46.1563,15.2386,Savinjska,SI034
3230,Pangrč Grm,Pangrča Grma,Pangrču Grmu,45.8,15.1667,Jugovzhodna Slovenija,SI037
3231,Pangršica,Pangršice,Pangršici,46.2333,14.3667,Gorenjska,SI042
3232,Panovci,Panovciv,Panovcih,46.805,16.2172,Pomurska,SI031
3234,Papirnica,Papirnice,Papirnici,46.1672,14.303,Gorenjska,SI042
3235,Paradišče,Paradišča,Paradišču,45.9551,14.6562,Osrednjeslovenska,SI041
3236,Paradiž,Paradiža,Paradižu,46.3436,15.9941,Podravska,SI032
3238,Paričjak,Paričjaka,Paričjaku,46.6428,16.0453,Pomurska,SI031
3239,Paridol,Paridola,Paridolu,46.2176,15.396,Savinjska,SI034
3240,Parižlje,Parižlja,Parižlju,46.2884,15.0386,Savinjska,SI034
3241,Parje,Parja,Parju,45.6833,14.2,Primorsko-notranjska,SI038
3242,Parož,Paroža,Parožu,46.3381,15.2293,Savinjska,SI034
3244,Paški Kozjak,Paškiv Kozjaka,Paških Kozjaku,46.3625,15.1144,Savinjska,SI034
3245,Paunoviči,Paunovičiv,Paunovičih,45.5711,15.1889,Jugovzhodna Slovenija,SI037
3246,Pavičiči,Pavičičiv,Pavičičih,45.5711,15.1889,Jugovzhodna Slovenija,SI037
3247,Pavla Vas,Pavle Vasa,Pavli Vasu,46.0092,15.3041,Posavska,SI036
3248,Pavlica,Pavlice,Pavlici,45.5679,14.2527,Primorsko-notranjska,SI038
3249,Pavlova Vas,Pavlove Vasa,Pavlovi Vasu,45.9048,15.5922,Posavska,SI036
3250,Pavlovci,Pavlovciv,Pavlovcih,46.4086,16.1475,Podravska,SI032
3251,Pavlovski Vrh,Pavlovskiv Vrha,Pavlovskih Vrhu,46.4086,16.1475,Podravska,SI032
3252,Pece,Peca,Pecu,45.9551,14.6562,Osrednjeslovenska,SI041
3253,Pecelj,Pecelja,Pecelju,46.1573,15.5974,Savinjska,SI034
3254,Peč,Peča,Peču,45.9551,14.6562,Osrednjeslovenska,SI041
3255,Pečarovci,Pečarovciv,Pečarovcih,46.7039,16.1572,Pomurska,SI031
3256,Peče,Peča,Peču,46.1356,14.7439,Osrednjeslovenska,SI041
3258,Pečice,Pečica,Pečicu,45.9048,15.5922,Posavska,SI036
3259,Pečice,Pečica,Pečicu,46.0667,14.8167,Zasavska,SI035
3260,Pečine,Pečina,Pečinu,46.1857,13.7352,Goriška,SI043
3261,Pečje,Pečja,Pečju,46.0092,15.3041,Posavska,SI036
3262,Pečke,Pečka,Pečku,46.3174,15.6669,Podravska,SI032
3263,Pečki,Pečkiv,Pečkih,45.8363,14.6377,Osrednjeslovenska,SI041
3264,Pečnik,Pečnika,Pečniku,46.0025,14.0275,Goriška,SI043
3265,Pečovje,Pečovja,Pečovju,46.2219,15.3111,Savinjska,SI034
3266,Pečovnik,Pečovnika,Pečovniku,46.2358,15.2675,Savinjska,SI034
3267,Pedrovo,Pedrova,Pedrovu,45.9558,13.6433,Goriška,SI043
3268,Pekel,Pekla,Peklu,46.5575,15.6456,Podravska,SI032
3269,Pekel,Pekla,Peklu,45.9104,15.0086,Jugovzhodna Slovenija,SI037
3270,Pekre,Pekra,Pekru,46.5575,15.6456,Podravska,SI032
3271,Penoje,Penoja,Penoju,46.3383,15.4233,Savinjska,SI034
3272,Pepelno,Pepelna,Pepelnu,46.2358,15.2675,Savinjska,SI034
3273,Peračica,Peračice,Peračici,46.3425,14.1721,Gorenjska,SI042
3274,Peraji,Perajiv,Perajih,45.55,13.7333,Obalno-kraška,SI044
3275,Perati,Perativ,Peratih,46.2464,13.578,Goriška,SI043
3276,Perišče,Perišča,Perišču,45.9048,15.5922,Posavska,SI036
3277,Pernica,Pernice,Pernici,46.6099,15.6714,Podravska,SI032
3278,Pernice,Pernica,Pernicu,46.6167,15.1667,Koroška,SI033
3280,Pernovo,Pernova,Pernovu,46.251,15.1639,Savinjska,SI034
3281,Perovec,Perovca,Perovcu,46.3383,15.4233,Savinjska,SI034
3282,Perovo,Perova,Perovu,45.74,14.7308,Jugovzhodna Slovenija,SI037
3283,Perovo,Perova,Perovu,46.5372,15.2733,Koroška,SI033
3284,Pertoča,Pertoče,Pertoči,46.8053,16.0344,Pomurska,SI031
3285,Perudina,Perudine,Perudini,45.5711,15.1889,Jugovzhodna Slovenija,SI037
3286,Pesje,Pesja,Pesju,45.95,15.4833,Posavska,SI036
3287,Peskovci,Peskovciv,Peskovcih,46.805,16.2172,Pomurska,SI031
3289,Pesnica Pri Mariboru,Pesnice Priv Mariborua,Pesnici Prih Mariboruu,46.6099,15.6714,Podravska,SI032
3290,Pesniški Dvor,Pesniškiv Dvora,Pesniških Dvoru,46.6099,15.6714,Podravska,SI032
3291,Pestike,Pestika,Pestiku,46.3917,16.0497,Podravska,SI032
3292,Peščeni Vrh,Peščeniv Vrha,Peščenih Vrhu,46.566,15.9429,Podravska,SI032
3293,Peščenik,Peščenika,Peščeniku,45.9374,14.8029,Osrednjeslovenska,SI041
