naselje;občina
Dolnji Ajdovec;Žužemberk
Dolnji Kot;Žužemberk
Dolnji Križ;Žužemberk
Dolnji Lakoš;Lendava
Dolnji Slaveči;Grad
Dolnji Suhor Pri Metliki;Metlika
Dolnji Vrh;Šmartno Pri Litiji
Dolnji Zemon;Ilirska Bistrica
Dolsko;Dol Pri Ljubljani
Dol-Suha;Rečica Ob Savinji
Dolšce;Kostanjevica Na Krki
Dolščaki;Velike Lašče
Dolž;Novo Mesto
Domajinci;Cankova
Domanjševci;Šalovci
Dombrava;Renče-Vogrsko
Domžale;Domžale
Donačka Gora;Rogatec
Dorfarje;Škofja Loka
Dornava;Dornava
Dornberk;Nova Gorica
Dornice;Vodice
Doropolje;Šentjur
Doslovče;Žirovnica
Dovje;Kranjska Gora
Dovško;Krško
Dovže;Mislinja
Draga;Ig
Draga;Loški Potok
Draga;Nova Gorica
Draga;Škofja Loka
Draga;Šmarješke Toplice
Draga;Štore
Draga Pri Sinjem Vrhu;Črnomelj
Draga Pri Šentrupertu;Šentrupert
Dragatuš;Črnomelj
Drage;Metlika
Dragočajna;Medvode
Dragomelj;Domžale
Dragomer;Log-Dragomer
Dragomilo;Šmarje Pri Jelšah
Dragomlja Vas;Metlika
Dragonja;Piran
Dragonja Vas;Kidričevo
Dragoši;Črnomelj
Dragotinci;Sveti Jurij Ob Ščavnici
Dragovanja Vas;Črnomelj
Dragovica;Nova Gorica
Dragovič;Juršinci
Dragovšek;Šmartno Pri Litiji
Dragučova;Pesnica
Drakovci;Ljutomer
Drakšl;Ormož
Drama;Šentjernej
Dramlja;Brežice
Dramlje;Šentjur
Drankovec;Pesnica
Drašča Vas;Žužemberk
Drašiči;Metlika
Dravci;Videm
Dravče;Vuzenica
Dravinjski Vrh;Videm
Dravograd;Dravograd
Dravski Dvor;Miklavž Na Dravskem Polju
Draža Vas;Slovenske Konjice
Dražen Vrh – Del;Sveta Ana
Draženci;Hajdina
Draževnik;Dobrova-Polhov Gradec
Dražgoše;Železniki
Dražica;Borovnica
Drbetinci;Sveti Andraž V Slov. Goricah
Drča;Šentjernej
Drečji Vrh;Mokronog-Trebelno
Dren;Kostel
Drenik;Škofljica
Drenje;Dolenjske Toplice
Drenov Grič;Vrhnika
Drenovec;Črnomelj
Drenovec;Zavrč
Drenovec Pri Bukovju;Brežice
Drenovec Pri Leskovcu;Krško
Drensko Rebro;Kozje
Drešinja Vas;Žalec
Drevenik;Rogaška Slatina
Drežnica;Kobarid
Drežnik;Črnomelj
Drežnik;Kostel
Drežniške Ravne;Kobarid
Drganja Sela;Straža
Drnovk;Brda
Drnovo;Krško
Drobinsko;Šentjur
Drobočnik;Tolmin
Drobtinci;Apače
Drožanje;Sevnica
Drskovče;Pivka
Drstelja;Destrnik
Drtija;Moravče
Drumlažno;Slovenska Bistrica
Drušče;Sevnica
Družina;Zagorje Ob Savi
Družinska Vas;Šmarješke Toplice
Družmirje;Šoštanj
Drvanja;Benedikt
Dule;Ribnica
Dule;Škocjan
Dunaj;Krško
Dupeljne;Lukovica
Duplje;Vipava
Dutovlje;Sežana
Dvor;Ljubljana
Dvor;Šmarje Pri Jelšah
Dvor;Šmartno Pri Litiji
Dvor;Žužemberk
Dvor Pri Polhovem Gradcu;Dobrova-Polhov Gradec
Dvorce;Brežice
Dvori;Koper
Dvorjane;Duplek
Dvorje;Cerklje Na Gorenjskem
Dvorje;Moravče
Dvorska Vas;Radovljica
Dvorska Vas;Velike Lašče
Erzelj
Vipava
Fabci;Ilirska Bistrica
Fala;Ruše
Fala;Selnica Ob Dravi
Famlje;Divača
Fara;Bloke
Fara;Kostel
Farovec;Slovenska Bistrica
Fijeroga;Koper
Fikšinci;Rogašovci
Filipčje Brdo;Sežana
Filovci;Moravske Toplice
Finkovo;Ribnica
Flekušek;Pesnica
Florjan;Šoštanj
Florjan Pri Gornjem Gradu;Gornji Grad
Fojana;Brda
Fokovci;Moravske Toplice
Forme;Škofja Loka
Formin;Gorišnica
Fošt;Slovenska Bistrica
Frajhajm;Slovenska Bistrica
Fram;Rače-Fram
Frankolovo;Vojnik
Frankovci;Ormož
Frluga;Krško
Froleh;Sveta Ana
Fučkovci;Črnomelj
Fužina;Ivančna Gorica
Fužine;Gorenja Vas-Poljane
Gaber Pri Črmošnjicah;Semič
Gaberje;Ajdovščina
Gaberje;Lendava
Gaberke;Šoštanj
Gabernik;Slovenska Bistrica
Gabrc;Sveti Jurij Ob Ščavnici
Gabrce;Rogaška Slatina
Gabrče;Divača
Gabrijele;Sevnica
Gabrje;Dobrova-Polhov Gradec
Gabrje;Novo Mesto
Gabrje;Sevnica
Gabrje;Tolmin
Gabrje Pod Limbarsko Goro;Moravče
Gabrje Pod Špilkom;Lukovica
Gabrje Pri Dobovi;Brežice
Gabrje Pri Ilovi Gori;Grosuplje
Gabrje Pri Jančah;Ljubljana
Gabrje Pri Soteski;Dolenjske Toplice
Gabrje Pri Stični;Ivančna Gorica
Gabrk;Ilirska Bistrica
Gabrk;Škofja Loka
Gabrnik;Juršinci
Gabrnik;Škocjan
Gabrno;Laško
Gabrovčec;Ivančna Gorica
Gabrovec Pri Dramljah;Vojnik
Gabrovec Pri Kostrivnici;Rogaška Slatina
Gabrovica Pri Črnem Kalu;Koper
Gabrovica Pri Komnu;Komen
Gabrovka;Litija
Gabrovka Pri Zagradcu;Ivančna Gorica
Gabrovlje;Slovenske Konjice
Gabrovnica;Kamnik
Gabrovnik;Slovenske Konjice
Gabrovo;Škofja Loka
Gabrska Gora;Litija
Gabrsko;Trbovlje
Gabrška Gora;Škofja Loka
Gačnik;Pesnica
Gaj;Brežice
Gaj;Slovenska Bistrica
Gaj;Šmarje Pri Jelšah
Gaj Nad Mariborom;Maribor
Gajevci;Gorišnica
Gajniče;Grosuplje
Gajševci;Križevci
Galantiči;Koper
Galicija;Žalec
Galušak;Sveti Jurij Ob Ščavnici
Gančani;Beltinci
Gašpinovo;Ribnica
Gatina;Grosuplje
Gavce;Šmartno Ob Paki
Gazice;Brežice
Gažon;Koper
Gederovci;Tišina
Genterovci;Lendava
Gerečja Vas;Hajdina
Gerlinci;Cankova
Geršiči;Metlika
Gibina;Razkrižje
Gibina;Sveti Andraž V Slov. Goricah
Gladloka;Kostel
Gladomes;Slovenska Bistrica
Glažuta;Loški Potok
Glem;Koper
Glina;Bloke
Glinek;Mirna
Glinek;Škofljica
Glinje;Braslovče
Glinje;Cerklje Na Gorenjskem
Glinsko;Celje
Globel;Sodražica
Globočdol;Mirna Peč
Globoče;Vojnik
Globočice;Brežice
Globočice Pri Kostanjevici;Kostanjevica Na Krki
Globoka;Ljutomer
Globoko;Brežice
Globoko;Laško
Globoko;Radovljica
Globoko Ob Dravinji;Poljčane
Globoko Pri Šmarju;Šmarje Pri Jelšah
Glogov Brod;Brežice
Glogovica;Ivančna Gorica
Gmajna;Krško
Gmajna;Slovenj Gradec
Gmajnica;Komenda
Gobnik;Litija
Gobovce;Naklo
Goče;Vipava
Gočova;Sveta Trojica V Slov. Goricah
Godemarci;Ljutomer
Godeninci;Središče Ob Dravi
Godešič;Škofja Loka
Godič;Kamnik
Godičevo;Bloke
Godnje;Sežana
Godovič;Idrija
Gojače;Ajdovščina
Golac;Hrpelje-Kozina
Golavabuka;Slovenj Gradec
Golčaj;Lukovica
Golče;Zagorje Ob Savi
Golek;Črnomelj
Golek;Krško
Golek Pri Vinici;Črnomelj
Goli Vrh;Gorenja Vas-Poljane
Goli Vrh;Krško
Golica;Železniki
Golice;Kamnik
Golišče;Litija
Goljek;Trebnje
Goljevica;Kanal
Golnik;Kranj
Golo;Ig
Golo Brdo;Brda
Golo Brdo;Medvode
Golobinjek;Mirna Peč
Golobinjek Ob Sotli;Podčetrtek
Golobinjek Pri Planini;Šentjur
Golušnik;Novo Mesto
Gombišče;Trebnje
Gomila;Destrnik
Gomila;Mirna
Gomila Pri Kogu;Ormož
Gomilci;Destrnik
Gomilica;Turnišče
Gomilsko;Braslovče
Gonjače;Brda
Gora;Cerknica
Gora;Krško
Gora Pri Komendi;Komenda
Gora Pri Pečah;Moravče
Gorca;Podlehnik
Gorče;Dravograd
Gore;Hrastnik
Gore;Idrija
Goreljce;Radeče
Goreljek;Bohinj
Gorenja Brezovica;Brezovica
Gorenja Brezovica;Šentjernej
Gorenja Dobrava;Gorenja Vas-Poljane
Gorenja Dobrava;Trebnje
Gorenja Gomila;Šentjernej
Gorenja Kanomlja;Idrija
Gorenja Lepa Vas;Krško
Gorenja Nemška Vas;Trebnje
Gorenja Pirošica;Brežice
Gorenja Podgora;Črnomelj
Gorenja Ravan;Gorenja Vas-Poljane
Gorenja Stara Vas;Šentjernej
Gorenja Trebuša;Tolmin
Gorenja Vas;Gorenja Vas-Poljane
Gorenja Vas;Ivančna Gorica
Gorenja Vas;Kanal
Gorenja Vas;Trebnje
Gorenja Vas;Zagorje Ob Savi
Gorenja Vas – Reteče;Škofja Loka
Gorenja Vas Pri Čatežu;Trebnje
Gorenja Vas Pri Leskovcu;Krško
Gorenja Vas Pri Mirni;Mirna
Gorenja Vas Pri Mokronogu;Mokronog-Trebelno
Gorenja Vas Pri Polici;Grosuplje
Gorenja Vas Pri Šmarjeti;Šmarješke Toplice
Gorenja Žaga;Kostel
Gorenja Žetina;Gorenja Vas-Poljane
Gorenjci Pri Adlešičih;Črnomelj
Gorenje;Kočevje
Gorenje;Lukovica
Gorenje;Postojna
Gorenje;Šmartno Ob Paki
Gorenje Blato;Škofljica
Gorenje Brdo;Gorenja Vas-Poljane
Gorenje Brezovo;Ivančna Gorica
Gorenje Dole;Krško
Gorenje Dole;Škocjan
Gorenje Gradišče;Dolenjske Toplice
Gorenje Gradišče Pri Šentj.;Šentjernej
Gorenje Grčevje;Novo Mesto
Gorenje Jelenje;Litija
Gorenje Jesenice;Šentrupert
Gorenje Jezero;Cerknica
Gorenje Kališče;Velike Lašče
Gorenje Kamence;Novo Mesto
Gorenje Kamenje;Novo Mesto
Gorenje Kamenje Pri Dobrniču;Trebnje
Gorenje Karteljevo;Novo Mesto
Gorenje Kronovo;Novo Mesto
Gorenje Laknice;Mokronog-Trebelno
Gorenje Lakovnice;Novo Mesto
Gorenje Medvedje Selo;Trebnje
Gorenje Mokro Polje;Šentjernej
Gorenje Mraševo;Novo Mesto
Gorenje Nekovo;Kanal
Gorenje Otave;Cerknica
Gorenje Podpoljane;Ribnica
Gorenje Polje;Dolenjske Toplice
Gorenje Polje;Kanal
Gorenje Ponikve;Trebnje
Gorenje Pri Divači;Sežana
Gorenje Pri Zrečah;Zreče
Gorenje Radulje;Škocjan
Gorenje Selce;Trebnje
Gorenje Skopice;Brežice
Gorenje Sušice;Dolenjske Toplice
Gorenje Vrhpolje;Šentjernej
Gorenje Zabukovje;Mokronog-Trebelno
Gorenji Globodol;Mirna Peč
Gorenji Lazi;Ribnica
Gorenji Leskovec;Krško
Gorenji Log;Tolmin
Gorenji Maharovec;Šentjernej
Gorenji Mokronog;Mokronog-Trebelno
Gorenji Novaki;Cerkno
Gorenji Podboršt;Mirna Peč
Gorenji Podboršt Pri V. Loki;Trebnje
Gorenji Podšumberk;Trebnje
Gorenji Potok;Kostel
Gorenji Radenci;Črnomelj
Gorenji Suhadol;Novo Mesto
Gorenji Vrh Pri Dobrniču;Trebnje
Gorenji Vrsnik;Idrija
Gorenjski Vrh;Zavrč
Gorica;Črnomelj
Gorica;Krško
Gorica;Moravče
Gorica;Puconci
Gorica;Radovljica
Gorica Na Medvedjeku;Trebnje
Gorica Pri Dobjem;Dobje
Gorica Pri Oplotnici;Oplotnica
Gorica Pri Raztezu;Krško
Gorica Pri Slivnici;Šentjur
Gorica Pri Šmartnem;Celje
Goriča Vas;Ribnica
Goričak;Zavrč
Goričane;Medvode
Goriče;Kranj
Goriče;Postojna
Goriče Pri Famljah;Divača
Goričica;Šentjur
Goričica Pod Krimom;Brezovica
Goričica Pri Ihanu;Domžale
Goričica Pri Moravčah;Moravče
Goričice;Cerknica
Goriška Gora;Škocjan
Goriška Vas;Mirna Peč
Goriška Vas Pri Škocjanu;Škocjan
Goriški Vrh;Dravograd
Gorišnica;Gorišnica
Gorjane;Kozje
Gorjansko;Komen
Gorje;Cerkno
Gorjuša;Domžale
Gorjuše;Bohinj
Gornja Bistrica;Črenšovci
Gornja Bitnja;Ilirska Bistrica
Gornja Briga;Kočevje
Gornja Košana;Pivka
Gornja Lokvica;Metlika
Gornja Paka;Črnomelj
Gornja Prekopa;Kostanjevica Na Krki
Gornja Radgona;Gornja Radgona
Gornja Stara Vas;Škocjan
Gornja Težka Voda;Novo Mesto
Gornja Vas;Šmarje Pri Jelšah
Gornja Vas;Zreče
Gornje Brezovo;Sevnica
Gornje Cerovo;Brda
Gornje Dobravice;Metlika
Gornje Impolje;Sevnica
Gornje Laze;Semič
Gornje Ležeče;Divača
Gornje Ložine;Kočevje
Gornje Orle;Sevnica
Gornje Pijavško;Krško
Gornje Prapreče;Trebnje
Gornje Ravne;Litija
Gornje Retje;Velike Lašče
Gornje Vreme;Divača
Gornji Ajdovec;Žužemberk
Gornji Črnci;Cankova
Gornji Dolič;Mislinja
Gornji Grad;Gornji Grad
Gornji Ig;Ig
Gornji Ivanjci;Gornja Radgona
Gornji Ključarovci;Sveti Tomaž
Gornji Kot;Žužemberk
Gornji Križ;Žužemberk
Gornji Lakoš;Lendava
Gornji Lenart;Brežice
Gornji Petrovci;Gornji Petrovci
Gornji Rogatec;Grosuplje
Gornji Slaveči;Kuzma
Gornji Suhor Pri Metliki;Metlika
Gornji Suhor Pri Vinici;Črnomelj
Gornji Vrh;Šmartno Pri Litiji
Gornji Zemon;Ilirska Bistrica
Goropeke;Žiri
Gorski Vrh;Tolmin
Gortina;Muta
Gosteče;Škofja Loka
Gostinca;Podčetrtek
Gotenc;Kostel
Gotenica;Kočevje
Gotovlje;Žalec
Govce;Laško
Goveji Dol;Sevnica
Govejk;Idrija
Gozd;Ajdovščina
Gozd;Kamnik
Gozd;Tržič
Gozd Martuljek;Kranjska Gora
Gozdec;Laško
Gozd-Reka;Šmartno Pri Litiji
Grabče;Gorje
Grabe;Apače
Grabe;Središče Ob Dravi
Grabe Pri Ljutomeru;Križevci
Graben;Ribnica
Grabonoš;Sveti Jurij Ob Ščavnici
Grabonoški Vrh;Cerkvenjak
Grabrovec;Metlika
Grabšinci;Sveti Jurij Ob Ščavnici
Gračič;Zreče
Gračišče;Koper
Gračnica;Laško
Grad;Cerklje Na Gorenjskem
Grad;Grad
Gradac;Metlika
Gradec;Krško
Gradec;Pivka
Gradenc;Žužemberk
Gradenje;Šmarješke Toplice
Gradenšak;Lenart
Gradež;Velike Lašče
Gradiček;Ivančna Gorica
Gradin;Koper
Gradišča;Cirkulane
Gradiščak;Juršinci
Gradišče;Grosuplje
Gradišče;Kozje
Gradišče;Slovenj Gradec
Gradišče;Sveti Tomaž
Gradišče;Škofljica
Gradišče;Tišina
Gradišče;Velike Lašče
Gradišče;Videm
Gradišče Na Kozjaku;Selnica Ob Dravi
Gradišče Nad Prvačino;Nova Gorica
Gradišče Pri Divači;Divača
Gradišče Pri Litiji;Šmartno Pri Litiji
Gradišče Pri Lukovici;Lukovica
Gradišče Pri Materiji;Hrpelje-Kozina
Gradišče Pri Raki;Krško
Gradišče Pri Štjaku;Sežana
Gradišče Pri Trebnjem;Trebnje
Gradišče Pri Vipavi;Vipava
Gradišče Pri Vojniku;Vojnik
Gradišče V Tuhinju;Kamnik
Gradišče-K. O. Grad. In Polj.;Šmartno Pri Litiji
Gradišče-K. O. Št. Lovrenc;Litija
Gradišica;Hrpelje-Kozina
Gradiška;Kungota
Gradiške Laze;Šmartno Pri Litiji
Gradiški Dol;Rogaška Slatina
Gradiško;Bloke
Gradnik;Semič
Gradnje;Krško
Gradnje;Sežana
Gradno;Brda
Grahovo;Cerknica
Grahovo Brdo;Sežana
Grahovo Ob Bači;Tolmin
Grahovše;Tržič
Grajena;Ptuj
Grajenščak;Ptuj
Grajska Vas;Braslovče
Grant;Tolmin
Graška Gora;Slovenj Gradec
Grč Vrh;Mirna Peč
Grčarevec;Logatec
Grčarice;Ribnica
Grčarske Ravne;Ribnica
Grče;Žalec
Grdina;Majšperk
Grebenje;Ribnica
Gregovce;Brežice
Grenc;Škofja Loka
Gresovščak;Ljutomer
Grgar;Nova Gorica
Grgarske Ravne;Nova Gorica
Grgelj;Kostel
Griblje;Črnomelj
Grič;Kostanjevica Na Krki
Grič;Ribnica
Grič Pri Dobličah;Črnomelj
Grič Pri Klevevžu;Šmarješke Toplice
Grič Pri Trebnjem;Trebnje
Griček Pri Željnah;Kočevje
Grinjan;Koper
Grintovec;Ivančna Gorica
Grintovec;Koper
Grintovec Pri Osilnici;Osilnica
Grivac;Kostel
Grivče;Ajdovščina
Griže;Ivančna Gorica
Griže;Sežana
Griže;Žalec
Grlava;Ljutomer
Grliče;Šmarje Pri Jelšah
Grlinci;Juršinci
Grm;Ivančna Gorica
Grm;Trebnje
Grm;Velike Lašče
Grm Pri Podzemlju;Metlika
Grmada;Trebnje
Grmovlje;Škocjan
Grobelce;Šmarje Pri Jelšah
Grobelno – Del;Šentjur
Grobelno – Del;Šmarje Pri Jelšah
Grobišče;Postojna
Groblje Pri Prekopi;Šentjernej
Grosuplje;Grosuplje
Gruča;Šentjernej
Grudnica;Tolmin
Grušce;Šentjur
Grušena;Kungota
Gruškovec;Cirkulane
Grušova;Maribor
Grušovlje;Rečica Ob Savinji
Gržeča Vas;Krško
Gubno;Kozje
Gumberk;Novo Mesto
Gumnišče;Škofljica
Gunte;Krško
Hajdoše;Hajdina
Hajndl;Ormož
Hajnsko;Šmarje Pri Jelšah
Hardek;Ormož
Harije;Ilirska Bistrica
Harje;Laško
Hercegovščak;Gornja Radgona
Herinja Vas;Novo Mesto
Hermanci;Ormož
Hinjce;Sevnica
Hinje;Sevnica
Hinje;Žužemberk
Hiteno;Bloke
Hlaponci;Juršinci
Hlavče Njive;Gorenja Vas-Poljane
Hlebce;Radovljica
Hlebče;Velike Lašče
Hleviše;Logatec
Hlevni Vrh;Logatec
Hlevnik;Brda
Hmeljčič;Mirna Peč
Hobovše Pri Stari Oselici;Gorenja Vas-Poljane
Hočevje;Dobrepolje
Hočko Pohorje;Hoče-Slivnica
Hodoš;Hodoš
Hohovica;Litija
Hojče;Ribnica
Hom;Šentrupert
Homec;Domžale
Homec;Kobarid
Homec;Rečica Ob Savinji
Homec;Vojnik
Horjul;Horjul
Hosta;Škofja Loka
Hošnica;Slovenska Bistrica
Hotavlje;Gorenja Vas-Poljane
Hotedršica;Logatec
Hotemaže;Šenčur
Hotemež;Radeče
Hotična;Hrpelje-Kozina
Hotinja Vas;Hoče-Slivnica
Hotiza;Lendava
Hotovlja;Gorenja Vas-Poljane
Hotunje;Šentjur
Hramše;Žalec
Hranjigovci;Sveti Tomaž
Hrast Pri Jugorju;Metlika
Hrast Pri Vinici;Črnomelj
Hrastek;Krško
Hrastenice;Dobrova-Polhov Gradec
Hrastje;Kranj
Hrastje;Maribor
Hrastje;Šentjernej
Hrastje;Šentjur
Hrastje Ob Bistrici;Bistrica Ob Sotli
Hrastje Pri Cerkljah;Brežice
Hrastje Pri Grosupljem;Grosuplje
Hrastje Pri Mirni Peči;Mirna Peč
Hrastje-Mota;Radenci
Hrastnik;Hrastnik
Hrastnik;Moravče
Hrastnik;Vojnik
Hrastnik Pri Trojanah;Zagorje Ob Savi
Hrastno;Šentrupert
Hrastov Dol;Ivančna Gorica
Hrastovec;Velenje
Hrastovec;Zavrč
Hrastovec Pod Bočem;Poljčane
Hrastovec V Slov. Goricah;Lenart
Hrastovica;Mokronog-Trebelno
Hrastovlje;Koper
Hrastulje;Škocjan
Hrašče;Postojna
Hrašče;Vipava
Hraše;Medvode
Hraše;Radovljica
Hraše Pri Preddvoru;Preddvor
Hrašenski Vrh;Radenci
Hreljin;Kočevje
Hrenca;Maribor
Hrenova;Vojnik
Hrenovice;Postojna
Hrib;Črnomelj
Hrib;Preddvor
Hrib;Šmarješke Toplice
Hrib Nad Ribčami;Moravče
Hrib Pri Cerovcu;Semič
Hrib Pri Fari;Kostel
Hrib Pri Hinjah;Žužemberk
Hrib Pri Kamniku;Kamnik
Hrib Pri Koprivniku;Kočevje
Hrib Pri Orehku;Novo Mesto
Hrib Pri Rožnem Dolu;Semič
Hribarjevo;Bloke
Hribi;Lukovica
Hribi;Sežana
Hribljane;Cerknica
Hrib-Loški Potok;Loški Potok
Hrovača;Ribnica
Hrpelje;Hrpelje-Kozina
Hrustovo;Velike Lašče
Hruševec;Šentjur
Hruševica;Komen
Hruševje;Postojna
Hruševka;Kamnik
Hruševlje;Brda
Hruševo;Dobrova-Polhov Gradec
Hrušica;Ilirska Bistrica
Hrušica;Jesenice
Hrušica;Novo Mesto
Hruškarje;Cerknica
Hrušovje;Šentjur
Hrvaški Brod;Šentjernej
Hrvatini;Koper
Huda Jama;Laško
Huda Polica;Grosuplje
Hudajužna;Tolmin
Hude Ravne;Litija
Hudeje;Trebnje
Hudenje;Škocjan
Hudi Graben;Tržič
Hudi Konec;Ribnica
Hudi Kot;Ribnica Na Pohorju
Hudi Log;Miren-Kostanjevica
Hudi Vrh;Bloke
Hudinja;Vitanje
Hudo;Domžale
Hudo;Novo Mesto
Hudo;Tržič
Hudo Brezje;Sevnica
Hujbar;Ormož
Huje;Ilirska Bistrica
Hum;Brda
Hum Pri Ormožu;Ormož
Hušica;Tržič
Hvaletinci;Sveti Andraž V Slov. Goricah
Idrija;Idrija
Idrija Pri Bači;Tolmin
Idrijska Bela;Idrija
Idrijske Krnice;Idrija
Idrijski Log;Idrija
Idrsko;Kobarid
Idršek;Idrija
Ig;Ig
Iga Vas;Loška Dolina
Iglenik;Novo Mesto
Iglenik Pri Veliki Loki;Trebnje
Ihan;Domžale
Ihova;Benedikt
Ilirska Bistrica;Ilirska Bistrica
Iljaševci;Križevci
Ilovca;Vojnik
Ilovci;Ljutomer
Ilovka;Kranj
Imenje;Brda
Imenje;Moravče
Imenje;Šentjernej
Imeno;Podčetrtek
Imenska Gorca;Podčetrtek
Imovica;Lukovica
Irje;Rogaška Slatina
Iška;Ig
Iška Loka;Ig
Iška Vas;Ig
Ivanci;Moravske Toplice
Ivančna Gorica;Ivančna Gorica
Ivandol;Krško
Ivanje Selo;Cerknica
Ivanji Grad;Komen
Ivanjkovci;Ormož
Ivanjski Vrh;Cerkvenjak
Ivanjski Vrh;Gornja Radgona
Ivanjše;Kostanjevica Na Krki
Ivanjševci;Moravske Toplice
Ivanjševci Ob Ščavnici;Gornja Radgona
Ivanjševski Vrh;Gornja Radgona
Ivanovci;Moravske Toplice
Ivenca;Vojnik
Izgorje;Žiri
Izlake;Zagorje Ob Savi
Izola;Izola
Izvir;Brežice
Ižakovci;Beltinci
Jablan;Mirna Peč
Jablana;Zagorje Ob Savi
Jablance;Duplek
Jablance;Kostanjevica Na Krki
Jablanica;Ilirska Bistrica
Jablanica;Sevnica
Jablaniške Laze;Šmartno Pri Litiji
Jablaniški Potok;Šmartno Pri Litiji
Jablovec;Podlehnik
Jagnjenica;Radeče
Jagoče;Laško
Jagodje;Izola
Jagodnik;Mokronog-Trebelno
Jagršče;Cerkno
Jakičevo;Velike Lašče
Jakob Pri Šentjurju;Šentjur
Jakovce;Sežana
Jakovica;Logatec
Jakšiči;Kostel
Jama;Kranj
Jama;Novo Mesto
Jama Pri Dvoru;Žužemberk
Jamna;Sveti Jurij Ob Ščavnici
Jamnica;Prevalje
Jamnik;Kranj
Jamnik;Vrhnika
Janče;Ljubljana
Janeževo Brdo;Ilirska Bistrica
Janeži;Sodražica
Janežovci;Destrnik
Janežovski Vrh;Destrnik
Janhova;Apače
Jankova;Vojnik
Jankoviči;Črnomelj
Janški Vrh;Majšperk
Janškovo Selo;Velenje
Janžev Vrh;Radenci
Janževa Gora;Selnica Ob Dravi
Janževski Vrh;Podvelka
Jarčja Dolina;Žiri
Jarčje Brdo;Gorenja Vas-Poljane
Jarčji Vrh;Škocjan
Jareninski Dol;Pesnica
Jareninski Vrh;Pesnica
Jarmovec;Šentjur
Jarše;Zagorje Ob Savi
Jasen;Domžale
Jasen;Ilirska Bistrica
Jastrebci;Ormož
Jastrebnik;Šmartno Pri Litiji
Javnik;Podvelka
Javor;Ljubljana
Javorje;Črna Na Koroškem
Javorje;Gorenja Vas-Poljane
Javorje;Hrpelje-Kozina
Javorje;Šentjur
Javorje;Šmartno Pri Litiji
Javorje;Velike Lašče
Javorje Pri Blagovici;Lukovica
Javorje Pri Gabrovki;Litija
Javorjev Dol;Gorenja Vas-Poljane
Javornik;Idrija
Javornik;Kranj
Javornik;Štore
Javorniški Rovt;Jesenice
Javorovica;Šentjernej
Jazbin Vrh;Šentjur
Jazbina;Črna Na Koroškem
Jazbina;Šmarje Pri Jelšah
Jazbine;Gorenja Vas-Poljane
Jazbine;Šentjur
Jazne;Cerkno
Jedlovnik;Kungota
Jelarji;Koper
Jelce;Šentjur
Jelenče;Pesnica
Jelendol;Ribnica
Jelendol;Škocjan
Jelendol;Tržič
Jelenik;Krško
Jelenja Vas;Kočevje
Jelenk;Zagorje Ob Savi
Jelenov Žleb;Ribnica
Jelenska Reber;Litija
Jelični Vrh;Idrija
Jelovec;Maribor
Jelovec;Sevnica
Jelovec;Sodražica
Jelovec Pri Makolah;Makole
Jelovica;Gorenja Vas-Poljane
Jelovice;Majšperk
Jelovo;Radeče
Jelša;Lukovica
Jelša;Šmartno Pri Litiji
Jelšane;Ilirska Bistrica
Jelše;Krško
Jelše;Mirna Peč
Jelše Pri Otočcu;Novo Mesto
Jelševec;Krško
Jelševec;Mokronog-Trebelno
Jelševica;Zagorje Ob Savi
Jelševnik;Črnomelj
Jeperjek;Sevnica
Jeranovo;Kamnik
Jerčin;Podčetrtek
Jereka;Bohinj
Jereslavec;Brežice
Jerinov Grič;Vrhnika
Jerman Vrh;Škocjan
Jerneja Vas;Črnomelj
Jeronim;Vransko
Jerovska Vas;Šmarje Pri Jelšah
Jeršanovo;Bloke
Jeršiče;Cerknica
Jeruzalem;Ljutomer
Jesen;Kanal
Jesenica;Cerkno
Jesenice;Brežice
Jesenice;Jesenice
Jesenje;Litija
Jesenov Vrt;Kostel
Jesenovo;Zagorje Ob Savi
Ješenca;Rače-Fram
Ješovec;Slovenska Bistrica
Ješovec Pri Kozjem;Kozje
Ješovec Pri Šmarju;Šmarje Pri Jelšah
Jevnica;Litija
Jevšček;Kobarid
Jezerca;Kobarid
Jezerce Pri Dobjem;Dobje
Jezerce Pri Šmartnem;Celje
Jezero;Brezovica
Jezero;Trebnje
Ježce;Šmartno Pri Litiji
Ježevec;Litija
Ježni Vrh;Šmartno Pri Litiji
Jiršovci;Destrnik
Jordankal;Mirna Peč
Josipdol;Ribnica Na Pohorju
Jugorje;Novo Mesto
Jugorje Pri Metliki;Metlika
Junčje;Ribnica
Jurišna Vas;Slovenska Bistrica
Jurjevica;Ribnica
Jurjevski Dol;Šentilj
Jurka Vas;Straža
Jurklošter;Laško
Jurna Vas;Novo Mesto
Jurovci;Videm
Jurovski Dol;Sveti Jurij V Slov. Goricah
Jurski Vrh;Kungota
Juršče;Pivka
Juršinci;Juršinci
Juvanje;Ljubno
Kačiče-Pared;Divača
Kačji Dol;Rogaška Slatina
Kačji Potok;Kočevje
Kadrenci;Cerkvenjak
Kajžar;Ormož
Kal;Hrastnik
Kal;Ivančna Gorica
Kal;Pivka
Kal;Semič
Kal;Tolmin
Kal;Zagorje Ob Savi
Kal Nad Kanalom;Kanal
Kal Pri Dolah;Litija
Kal Pri Krmelju;Sevnica
Kalce;Krško
Kalce;Logatec
Kalce-Naklo;Krško
Kale;Žalec
Kališe;Kamnik
Kališe;Železniki
Kališovec;Krško
