naselje;občina
Borje Pri Mlinšah;Zagorje Ob Savi
Borovak Pri Podkumu;Zagorje Ob Savi
Borovak Pri Polšniku;Litija
Borovci;Markovci
Borovec Pri Karlovici;Velike Lašče
Borovec Pri Kočevski Reki;Kočevje
Borovnica;Borovnica
Boršt;Brežice
Boršt;Koper
Boršt;Metlika
Boršt Pri Dvoru;Žužemberk
Bosljiva Loka;Osilnica
Bošamarin;Koper
Boštanj;Sevnica
Boštetje;Velike Lašče
Botričnica;Šentjur
Bovec;Bovec
Bovše;Vojnik
Božakovo;Metlika
Božič Vrh;Metlika
Božje;Oplotnica
Bračna Vas;Brežice
Branik;Nova Gorica
Brankovo;Velike Lašče
Branoslavci;Ljutomer
Braslovče;Braslovče
Bratislavci;Dornava
Bratnice;Ivančna Gorica
Bratonci;Beltinci
Bratonečice;Sveti Tomaž
Brce;Ilirska Bistrica
Brda;Radovljica
Brda;Slovenj Gradec
Brdarci;Črnomelj
Brdce;Hrastnik
Brdce;Vojnik
Brdce Nad Dobrno;Dobrna
Brdice Pri Kožbani;Brda
Brdice Pri Neblem;Brda
Brdinje;Ravne Na Koroškem
Brdo;Domžale
Brdo;Nazarje
Brdo;Nova Gorica
Brdo;Slovenske Konjice
Brdo;Šentjur
Brdo;Tržič
Brdo Pri Lukovici;Lukovica
Brebovnica;Gorenja Vas-Poljane
Brecljevo;Šmarje Pri Jelšah
Breg;Majšperk
Breg;Mežica
Breg;Sevnica
Breg;Žirovnica
Breg Ob Bistrici;Tržič
Breg Ob Kokri;Preddvor
Breg Ob Savi;Kranj
Breg Pri Borovnici;Borovnica
Breg Pri Dobu;Ivančna Gorica
Breg Pri Golem Brdu;Brda
Breg Pri Kočevju;Kočevje
Breg Pri Komendi;Komenda
Breg Pri Konjicah;Slovenske Konjice
Breg Pri Litiji;Litija
Breg Pri Polzeli;Polzela
Breg Pri Ribnici Na Dol.;Ribnica
Breg Pri Sinjem Vrhu;Črnomelj
Breg Pri Temenici;Ivančna Gorica
Breg Pri Zagradcu;Ivančna Gorica
Brege;Krško
Breginj;Kobarid
Brekovice;Žiri
Brengova;Cerkvenjak
Bresnica;Ormož
Brest;Ig
Brestanica;Krško
Bresternica;Maribor
Brestje;Brda
Brestovec;Rogaška Slatina
Brestovica Pri Komnu;Komen
Brestovica Pri Povirju;Sežana
Breška Vas;Šentjernej
Breza;Trebnje
Brezen;Vitanje
Brezje;Cerknica
Brezje;Mozirje
Brezje;Novo Mesto
Brezje;Radovljica
Brezje;Sevnica
Brezje;Sveti Jurij Ob Ščavnici
Brezje;Zagorje Ob Savi
Brezje Nad Kamnikom;Kamnik
Brezje Ob Slomu;Šentjur
Brezje Pod Nanosom;Postojna
Brezje Pri Bojsnem;Brežice
Brezje Pri Dobjem;Dobje
Brezje Pri Dobrovi;Dobrova-Polhov Gradec
Brezje Pri Dobu;Domžale
Brezje Pri Dovškem;Krško
Brezje Pri Grosupljem;Grosuplje
Brezje Pri Kumpolju;Litija
Brezje Pri Lekmarju;Šmarje Pri Jelšah
Brezje Pri Lipoglavu;Ljubljana
Brezje Pri Ločah;Slovenske Konjice
Brezje Pri Oplotnici;Oplotnica
Brezje Pri Podplatu;Rogaška Slatina
Brezje Pri Poljčanah;Poljčane
Brezje Pri Raki;Krško
Brezje Pri Rožnem Dolu;Semič
Brezje Pri Senušah;Krško
Brezje Pri Slov. Bistrici;Slovenska Bistrica
Brezje Pri Šentjerneju;Šentjernej
Brezje Pri Trebelnem;Mokronog-Trebelno
Brezje Pri Tržiču;Tržič
Brezje Pri Veliki Dolini;Brežice
Brezje Pri Vinjem Vrhu;Semič
Brezje V Podbočju;Krško
Brezni Vrh;Radlje Ob Dravi
Breznica;Prevalje
Breznica;Žirovnica
Breznica Pod Lubnikom;Škofja Loka
Breznica Pri Žireh;Žiri
Breznik;Črnomelj
Breznik;Zagorje Ob Savi
Brezno;Laško
Brezno;Podvelka
Brezova;Celje
Brezova Reber;Semič
Brezova Reber Pri Dvoru;Žužemberk
Brezovci;Dornava
Brezovci;Puconci
Brezovec;Cirkulane
Brezovec – Del;Lendava
Brezovec Pri Polju;Podčetrtek
Brezovec Pri Rogatcu;Rogatec
Brezovi Dol;Ivančna Gorica
Brezovica;Hrpelje-Kozina
Brezovica;Radovljica
Brezovica;Šmarješke Toplice
Brezovica;Velika Polana
Brezovica Na Bizeljskem;Brežice
Brezovica Pri Borovnici;Borovnica
Brezovica Pri Črmošnjicah;Semič
Brezovica Pri Dobu;Domžale
Brezovica Pri Gradinu;Koper
Brezovica Pri Ljubljani;Brezovica
Brezovica Pri Medvodah;Medvode
Brezovica Pri Metliki;Metlika
Brezovica Pri Mirni;Mirna
Brezovica Pri Predgradu;Kočevje
Brezovica Pri Stopičah;Novo Mesto
Brezovica Pri Trebelnem;Mokronog-Trebelno
Brezovica Pri Zlatem Polju;Lukovica
Brezovica V Podbočju;Krško
Brezovk;Brda
Brezovo;Litija
Brezovo;Sevnica
Brezovo Brdo;Hrpelje-Kozina
Brezovska Gora;Krško
Brezula;Rače-Fram
Breže;Ribnica
Brežec Pri Divači;Divača
Brežec Pri Podgorju;Koper
Brežice;Brežice
Brglez;Litija
Brič;Koper
Briga;Kostel
Brinje;Dol Pri Ljubljani
Brinje;Šentrupert
Brinovščica;Ribnica
Briše;Kamnik
Briše;Zagorje Ob Savi
Briše Pri Polhovem Gradcu;Dobrova-Polhov Gradec
Britof;Kranj
Brje;Ajdovščina
Brje Pri Komnu;Komen
Brje Pri Koprivi;Sežana
Brlog;Krško
Brlog – Del;Sodražica
Brlog – Del;Velike Lašče
Brnica;Hrastnik
Brnica;Žalec
Brod;Bohinj
Brod V Podbočju;Krško
Brode;Škofja Loka
Brode;Vransko
Brodnice;Laško
Brsnik;Kostel
Brstnik;Laško
Brstovec;Semič
Brstovnica;Laško
Bršlenovica;Lukovica
Bruhanja Vas;Dobrepolje
Bruna Vas;Mokronog-Trebelno
Brunk;Radeče
Brunška Gora;Radeče
Brunšvik;Starše
Brvace;Grosuplje
Brvi;Brežice
Buč;Kamnik
Buče;Kozje
Bučečovci;Križevci
Bučerca;Krško
Bučka;Škocjan
Bučkovci;Ljutomer
Budanje;Ajdovščina
Budganja Vas;Žužemberk
Budihni;Nova Gorica
Budinci;Šalovci
Budna Vas;Sevnica
Buje;Pivka
Bukošek;Brežice
Bukov Vrh;Gorenja Vas-Poljane
Bukov Vrh Nad Visokim;Škofja Loka
Bukova Gora;Kočevje
Bukovca;Laško
Bukovci;Markovci
Bukovec;Slovenska Bistrica
Bukovec;Velike Lašče
Bukovec Pri Poljanah;Ribnica
Bukovica;Ivančna Gorica
Bukovica;Renče-Vogrsko
Bukovica;Ribnica
Bukovica;Škofja Loka
Bukovica Pri Litiji;Šmartno Pri Litiji
Bukovica Pri Vodicah;Vodice
Bukovje;Brežice
Bukovje;Dravograd
Bukovje;Postojna
Bukovje Pri Slivnici;Šentjur
Bukovje V Babni Gori;Šmarje Pri Jelšah
Bukovlje;Zreče
Bukovnica;Moravske Toplice
Bukovo;Cerkno
Bukovska Vas;Dravograd
Bukovski Vrh;Tolmin
Bukovščica;Škofja Loka
Bukovžlak;Celje
Bunčani;Veržej
Bušeča Vas;Brežice
Bušinec;Dolenjske Toplice
Bušinja Vas;Metlika
Butajnova;Dobrova-Polhov Gradec
Butari;Koper
Butoraj;Črnomelj
Cajnarje;Cerknica
Cankova;Cankova
Cegelnica;Naklo
Ceglo;Brda
Celestrina;Maribor
Celine;Krško
Celje;Celje
Cenkova;Cerkvenjak
Centa;Velike Lašče
Cepki;Koper
Cerej;Koper
Cerina;Brežice
Cerkljanska Dobrava;Cerklje Na Gorenjskem
Cerkljanski Vrh;Cerkno
Cerklje Na Gorenjskem;Cerklje Na Gorenjskem
Cerklje Ob Krki;Brežice
Cerknica;Cerknica
Cerkno;Cerkno
Cerkvenjak;Cerkvenjak
Cerkvišče;Črnomelj
Cerov Log;Šentjernej
Cerovec;Dolenjske Toplice
Cerovec;Sevnica
Cerovec;Šentjur
Cerovec Pod Bočem;Rogaška Slatina
Cerovec Pri Črešnjevcu;Semič
Cerovec Pri Šmarju;Šmarje Pri Jelšah
Cerovec Pri Trebelnem;Mokronog-Trebelno
Cerovec Stanka Vraza;Ormož
Cerovica;Šmartno Pri Litiji
Cerovo;Grosuplje
Ceršak;Šentilj
Cesta;Ajdovščina
Cesta;Dobrepolje
Cesta;Krško
Cesta;Trebnje
